Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,298.149994,307.109985,297.850006,301.209991,301.005585,39154700
2022-01-04,302.769989,304.679993,283.489990,292.899994,292.701202,52715400
2022-01-05,289.489990,294.160004,275.329987,276.040009,275.852661,49806400
2022-01-06,276.399994,284.380005,270.649994,281.779999,281.588776,45418600
2022-01-07,281.410004,284.220001,270.570007,272.470001,272.285095,40993900
2022-01-10,265.809998,274.690002,256.440002,274.000000,273.814056,59468100
2022-01-11,273.230011,280.649994,268.390015,278.170013,277.981232,40408900
2022-01-12,280.670013,285.950012,276.079987,279.989990,279.799988,38341300
2022-01-13,283.790009,284.799988,264.980011,265.750000,265.569672,54017100
2022-01-14,263.000000,271.970001,262.100006,269.420013,269.237183,39583200
2022-01-18,262.600006,266.380005,257.700012,259.029999,258.854218,42427000
2022-01-19,260.790009,265.429993,250.520004,250.669998,250.499893,48831500
2022-01-20,253.039993,255.789993,240.779999,241.500000,241.336105,43518100
2022-01-21,235.070007,248.229996,232.630005,233.740005,233.581390,71895800
2022-01-24,223.300003,233.800003,208.880005,233.720001,233.561401,91398200
2022-01-25,225.460007,229.429993,220.000000,223.240005,223.088516,66461600
2022-01-26,232.399994,240.570007,223.000000,227.720001,227.565460,75595900
2022-01-27,235.679993,239.949997,216.750000,219.440002,219.291092,57335300
2022-01-28,220.119995,228.580002,212.960007,228.399994,228.244995,54377400
2022-01-31,231.820007,245.089996,230.520004,244.860001,244.693832,56468000
